Region,Brand,SKU,Sales_Units,Sales_Value,Net_Price,Promotion_Spend
CENTRAL,BrandA,BrandA_SKU1,166.73742477364237,15058.472803981804,90.31249477689084,13484.10400109702
CENTRAL,BrandA,BrandA_SKU2,123.32698979629777,11166.439172269053,90.54335300580138,13484.10400109702
CENTRAL,BrandA,BrandA_SKU3,74.23295300688666,7829.352426086883,105.4700386950866,13484.10400109702
CENTRAL,BrandB,BrandB_SKU1,216.5837703708737,15986.585045883536,73.81247920150446,13484.10400109702
CENTRAL,BrandB,BrandB_SKU2,272.92019491254814,22565.28321918272,82.68088488802859,13484.10400109702
CENTRAL,BrandB,BrandB_SKU3,61.97143047830169,4985.227397303872,80.44396198098687,13484.10400109702
CENTRAL,BrandC,BrandC_SKU1,55.70323456754162,3491.94319670162,62.688338007868246,13484.10400109702
CENTRAL,BrandC,BrandC_SKU2,125.93401135274746,8046.992030256211,63.89848098871547,13484.10400109702
CENTRAL,BrandC,BrandC_SKU3,68.38926998549475,4067.954207586047,59.4823458189984,13484.10400109702
EAST,BrandA,BrandA_SKU1,148.55259999330585,14173.139362778184,95.40822148799052,12571.966318912224
EAST,BrandA,BrandA_SKU2,210.6613958824532,19855.17487816061,94.2516059716968,12571.966318912224
EAST,BrandA,BrandA_SKU3,206.26868643426752,19766.08066531385,95.82686062051782,12571.966318912224
EAST,BrandB,BrandB_SKU1,245.49460125948025,18050.340190027367,73.52642419597942,12571.966318912224
EAST,BrandB,BrandB_SKU2,123.13880588119372,9234.7034551449,74.99425862595005,12571.966318912224
EAST,BrandB,BrandB_SKU3,152.76040633488046,12086.297382398803,79.11930632014224,12571.966318912224
EAST,BrandC,BrandC_SKU1,276.282446740985,17980.395800211943,65.07976171598256,12571.966318912224
EAST,BrandC,BrandC_SKU2,244.40799451735,15886.7901693315,65.00110686110855,12571.966318912224
EAST,BrandC,BrandC_SKU3,94.01856882384334,6196.743628906054,65.90978469919598,12571.966318912224
